NUTS3,CODE
'NL226','6672
'NL414','5741
'NL361','2717
'NL361','2711
'NL126','8445
'NL126','8442
'NL226','6922
'NL361','2715
'NL224','4175
'NL131','9761
'NL221','7313
'NL363','2465
'NL221','8194
'NL126','8444
'NL224','4032
'NL363','2322
'NL126','8446
'NL342','4424
'NL221','7317
'NL127','8835
'NL212','8196
'NL224','4174
'NL32B','1145
'NL221','7316
'NL342','4423
'NL221','8193
'NL126','8443
'NL128','8701
'NL342','4698
'NL366','3237
'NL327','1273
'NL32B','1131
'NL341','4551
'NL366','2988
'NL213','7586
'NL366','3232
'NL350','3628
'NL361','2591
'NL423','6124
'NL213','7443
'NL327','1271
'NL325','1521
'NL366','3231
'NL366','3234
'NL423','6127
'NL213','7442
'NL341','4553
'NL361','2592
'NL366','2983
'NL342','4693
'NL366','2986
'NL342','4695
'NL327','1274
'NL423','6125
'NL342','4696
'NL128','8844
'NL366','2985
'NL423','6269
'NL342','4691
'NL411','4941
'NL366','3233
'NL366','2981
'NL366','3235
'NL128','8702
'NL327','1272
'NL128','8845
'NL366','2989
'NL126','8452
'NL361','2593
'NL423','6268
'NL213','7441
'NL213','7587
'NL127','8842
'NL423','6122
'NL411','4944
'NL327','3625
'NL342','4697
'NL366','2984
'NL342','4694
'NL213','7588
'NL421','5871
'NL423','6121
'NL327','1275
'NL127','8843
'NL366','2987
'NL350','3626
'NL423','6123
'NL350','3762
'NL350','3766
'NL415','5087
'NL226','6511
'NL213','7581
'NL350','3764
'NL364','3371
'NL323','1911
'NL321','1661
'NL213','7582
'NL224','6659
'NL416','5359
'NL133','7974
'NL415','5089
'NL226','6515
'NL350','3768
'NL423','6261
'NL224','5335
'NL364','3372
'NL226','6653
'NL423','6265
'NL423','6267
'NL226','6909
'NL224','6658
'NL416','5215
'NL416','5357
'NL350','3621
'NL224','6657
'NL350','3765
'NL226','6512
'NL224','4017
'NL133','7973
'NL133','7975
'NL350','3769
'NL132','7831
'NL321','1662
'NL423','6262
'NL213','7585
'NL411','4942
'NL366','2982
'NL350','3763
'NL132','7833
'NL364','3373
'NL133','7971
'NL321','1663
'NL127','9233
